grid_x,grid_y,predicted_sinr
37,10,27.48787497742387
38,10,27.487968570607933
39,10,27.48798208468396
0,11,27.488029707859123
1,11,27.48840182529517
2,11,27.49088412881408
3,11,27.50329225547909
4,11,27.549198410513632
5,11,27.672288927317787
6,11,27.901955495238642
7,11,28.171972005079578
8,11,28.302159502275895
9,11,28.17042090049292
10,11,27.90769245775261
11,11,27.775241870450838
12,11,27.83422924728088
13,11,27.900684421799077
14,11,27.83991574323084
15,11,27.74997793233024
16,11,27.82778188144187
17,11,28.16715863311994
18,11,28.701340605067422
19,11,29.187213407442098
20,11,29.13401676533907
21,11,27.939484650630536
22,11,25.49022240080192
23,11,22.71621248369411
24,11,21.14242571464726
25,11,21.567536778625602
26,11,23.37161285791415
27,11,25.273738006650618
28,11,26.482095849786685
29,11,26.99230837081414
30,11,27.150993699194085
31,11,27.230228960957344
32,11,27.318022573473197
33,11,27.399864493490092
34,11,27.45277042802154
35,11,27.477173904803397
36,11,27.485434934001102
37,11,27.48752200171248
38,11,27.487919433006805
39,11,27.487976827396874
0,12,27.48800372274672
1,12,27.4881555731095
2,12,27.48907925799248
3,12,27.49305759676167
4,12,27.504285739287997
5,12,27.519774360484995
6,12,27.501416434483367
7,12,27.359575436014033
8,12,27.032620133790097
9,12,26.64743228367548
10,12,26.51510624430373
11,12,26.832113175777977
12,12,27.445034536093537
13,12,28.01796525317873
14,12,28.34614573411009
15,12,28.444697691004897
16,12,28.459736850137315
17,12,28.56620944251749
18,12,28.845639610976644
19,12,29.121861506883786
20,12,28.866707649385994
21,12,27.42715719574294
22,12,24.69819358185889
23,12,21.69539871309233
24,12,20.065839018253275
25,12,20.654926357651597
26,12,22.733984469058683
27,12,24.832648172507216
28,12,26.053100241108073
29,12,26.4521672963078
30,12,26.535030427134625
31,12,26.678270395044546
32,12,26.939535121417848
33,12,27.201577598180535
34,12,27.37325700467475
35,12,27.45272810160815
36,12,27.47966656180765
37,12,27.48647662564675
38,12,27.48777387626578
39,12,27.487961252204066
0,13,27.487987661767285
1,13,27.48800415729983
2,13,27.48798021310048
3,13,27.486921818751505
4,13,27.477991707230316
5,13,27.433615679151586
6,13,27.28710878079556
7,13,26.960547916997044
8,13,26.492544661352156
9,13,26.15528186060053
10,13,26.303848222961633
11,13,27.016758470473984
12,13,28.006845500984163
13,13,28.916968358103098
14,13,29.53002279919566
15,13,29.740135684326525
16,13,29.586200752437595
17,13,29.310313505186663
18,13,29.162902638529758
19,13,29.083651515460467
20,13,28.616228124105124
21,13,27.203143433969345
22,13,24.77748595140246
23,13,22.206229725748035
24,13,20.868288549954638
25,13,21.445762966225043
26,13,23.243235972468213
27,13,24.892425594295872
28,13,25.568674901338056
29,13,25.45252218127565
30,13,25.26187713867554
31,13,25.502638947833145
32,13,26.124656023147146
33,13,26.77255301199091
34,13,27.20076600067189
35,13,27.399618396397038
36,13,27.467123704070428
37,13,27.48420239276419
38,13,27.487457121041064
39,13,27.487927352098062
0,14,27.48798153252705
1,14,27.48794981558059
2,14,27.487619208203366
3,14,27.48515782602432
4,14,27.471905938824978
5,14,27.420454667151464
6,14,27.27910443196591
7,14,27.01809838189607
8,14,26.744371009653875
9,14,26.740350720165782
10,14,27.24167343649012
11,14,28.155467835466062
12,14,29.1571273269083
13,14,30.01772555360973
14,14,30.61740499720523
15,14,30.78269352721271
16,14,30.442305730386558
17,14,29.848461022026914
18,14,29.35715884449899
19,14,29.015504944552962
20,14,28.491074301222728
21,14,27.38227570035123
22,14,25.652596774356528
23,14,23.88926800531953
24,14,23.004629824873412
25,14,23.42319769932582
26,14,24.57637101259106
27,14,25.3502823738865
28,14,25.067463172197172
29,14,24.07516440536442
30,14,23.39636534932353
31,14,23.736894568718792
32,14,24.885456049621105
33,14,26.11566311985003
34,14,26.935630795600336
35,14,27.31779899606376
36,14,27.447774932170045
37,14,27.480691402963597
38,14,27.48696788616697
39,14,27.48787497854125
0,15,27.487981043665005
1,15,27.48795072322144
2,15,27.487677887277332
3,15,27.485865730571312
4,15,27.47709630609998
5,15,27.447027766234424
6,15,27.3787182428819
7,15,27.297732520845866
8,15,27.339741060379442
9,15,27.709499246621892
10,15,28.454046774124073
11,15,29.324294097122905
12,15,30.025702227252562
13,15,30.513034201368423
14,15,30.829168438656612
15,15,30.837832850259556
16,15,30.417184796427456
17,15,29.763928235254774
18,15,29.220707395786327
19,15,28.8790219718342
20,15,28.510479917711795
21,15,27.832385511438606
22,15,26.80738640637739
23,15,25.774488672794686
24,15,25.26029922011055
25,15,25.49880442933342
26,15,26.06094713267506
27,15,26.043761367201668
28,15,24.84865697019901
29,15,22.95144388880295
30,15,21.702084200165764
31,15,22.05805057155293
32,15,23.67915861275948
33,15,25.467874220560024
34,15,26.67223784252498
35,15,27.2361710571924
36,15,27.428423538648083
37,15,27.47717483110757
38,15,27.486477454423266
39,15,27.487822450400422
0,16,27.487982234953765
1,16,27.487966774500137
2,16,27.487838614936713
3,16,27.487074430881183
4,16,27.48396307385676
5,16,27.476594116635482
6,16,27.47533804645575
7,16,27.537312322361053
