x,y
100,971
127,971
154,971
181,971
209,971
236,971
263,971
290,971
317,971
344,971
372,971
399,971
426,971
453,971
480,971
507,971
534,971
562,971
589,971
616,971
643,971
670,971
697,971
725,971
752,971
779,971
806,971
833,971
860,971
887,971
915,971
942,971
969,971
996,971
1023,971
1050,971
1078,971
19,997
46,997
73,997
100,997
127,997
154,997
181,997
209,997
236,997
263,997
290,997
317,997
344,997
372,997
399,997
426,997
453,997
480,997
507,997
534,997
562,997
589,997
616,997
643,997
670,997
697,997
725,997
752,997
779,997
806,997
833,997
860,997
887,997
915,997
942,997
969,997
996,997
1023,997
1050,997
1078,997
19,1024
46,1024
73,1024
100,1024
127,1024
154,1024
181,1024
209,1024
236,1024
263,1024
290,1024
317,1024
344,1024
372,1024
399,1024
426,1024
453,1024
480,1024
507,1024
534,1024
562,1024
589,1024
616,1024
643,1024
670,1024
697,1024
725,1024
752,1024
779,1024
806,1024
833,1024
860,1024
887,1024
915,1024
942,1024
969,1024
996,1024
1023,1024
1050,1024
1078,1024
19,1051
46,1051
73,1051
100,1051
127,1051
154,1051
181,1051
209,1051
236,1051
263,1051
290,1051
317,1051
344,1051
372,1051
399,1051
426,1051
453,1051
480,1051
507,1051
534,1051
562,1051
589,1051
616,1051
643,1051
670,1051
697,1051
725,1051
752,1051
779,1051
806,1051
833,1051
860,1051
887,1051
915,1051
942,1051
969,1051
996,1051
1023,1051
1050,1051
1078,1051
